RECTYPE,ALPHAIND,LEA,ESTAB,URN,SCHNAME,ADDRESS1,ADDRESS2,ADDRESS3,TOWN,PCODE,TELNUM,PCON_CODE,PCON_NAME,URN_AC,SCHNAME_AC,OPEN_AC,NFTYPE,ICLOSE,RELDENOM,AGERANGE,CONFEXAM,TAB15,TAB1618,TOTPUPS,TPUPYEAR,TELIG,BELIG,GELIG,PBELIG,PGELIG,TKS1AVERAGE,TKS1GROUP_L,PTKS1GROUP_L,TKS1GROUP_M,PTKS1GROUP_M,TKS1GROUP_H,PTKS1GROUP_H,TKS1GROUP_NA,PTKS1GROUP_NA,TFSM6CLA1A,PTFSM6CLA1A,TNotFSM6CLA1A,PTNotFSM6CLA1A,TEALGRP2,PTEALGRP2,TMOBN,PTMOBN,PTRWM_EXP,PTRWM_HIGH,READPROG,READPROG_LOWER,READPROG_UPPER,READCOV,WRITPROG,WRITPROG_LOWER,WRITPROG_UPPER,WRITCOV,MATPROG,MATPROG_LOWER,MATPROG_UPPER,MATCOV,PTREAD_EXP,PTREAD_HIGH,PTREAD_AT,READ_AVERAGE,PTGPS_EXP,PTGPS_HIGH,PTGPS_AT,GPS_AVERAGE,PTMAT_EXP,PTMAT_HIGH,PTMAT_AT,MAT_AVERAGE,PTWRITTA_EXP,PTWRITTA_HIGH,PTWRITTA_WTS,PTWRITTA_AD,PTSCITA_EXP,PTSCITA_AD,PTRWM_EXP_B,PTRWM_EXP_G,PTRWM_EXP_L,PTRWM_EXP_M,PTRWM_EXP_H,PTRWM_EXP_FSM6CLA1A,PTRWM_EXP_NotFSM6CLA1A,DIFFN_RWM_EXP,PTRWM_EXP_EAL,PTRWM_EXP_MOBN,PTRWM_HIGH_B,PTRWM_HIGH_G,PTRWM_HIGH_L,PTRWM_HIGH_M,PTRWM_HIGH_H,PTRWM_HIGH_FSM6CLA1A,PTRWM_HIGH_NotFSM6CLA1A,DIFFN_RWM_HIGH,PTRWM_HIGH_EAL,PTRWM_HIGH_MOBN,READPROG_B,READPROG_B_LOWER,READPROG_B_UPPER,READPROG_G,READPROG_G_LOWER,READPROG_G_UPPER,READPROG_L,READPROG_L_LOWER,READPROG_L_UPPER,READPROG_M,READPROG_M_LOWER,READPROG_M_UPPER,READPROG_H,READPROG_H_LOWER,READPROG_H_UPPER,READPROG_FSM6CLA1A,READPROG_FSM6CLA1A_LOWER,READPROG_FSM6CLA1A_UPPER,READPROG_NotFSM6CLA1A,READPROG_NotFSM6CLA1A_LOWER,READPROG_NotFSM6CLA1A_UPPER,DIFFN_READPROG,READPROG_EAL,READPROG_EAL_LOWER,READPROG_EAL_UPPER,READPROG_MOBN,READPROG_MOBN_LOWER,READPROG_MOBN_UPPER,WRITPROG_B,WRITPROG_B_LOWER,WRITPROG_B_UPPER,WRITPROG_G,WRITPROG_G_LOWER,WRITPROG_G_UPPER,WRITPROG_L,WRITPROG_L_LOWER,WRITPROG_L_UPPER,WRITPROG_M,WRITPROG_M_LOWER,WRITPROG_M_UPPER,WRITPROG_H,WRITPROG_H_LOWER,WRITPROG_H_UPPER,WRITPROG_FSM6CLA1A,WRITPROG_FSM6CLA1A_LOWER,WRITPROG_FSM6CLA1A_UPPER,WRITPROG_NotFSM6CLA1A,WRITPROG_NotFSM6CLA1A_LOWER,WRITPROG_NotFSM6CLA1A_UPPER,DIFFN_WRITPROG,WRITPROG_EAL,WRITPROG_EAL_LOWER,WRITPROG_EAL_UPPER,WRITPROG_MOBN,WRITPROG_MOBN_LOWER,WRITPROG_MOBN_UPPER,MATPROG_B,MATPROG_B_LOWER,MATPROG_B_UPPER,MATPROG_G,MATPROG_G_LOWER,MATPROG_G_UPPER,MATPROG_L,MATPROG_L_LOWER,MATPROG_L_UPPER,MATPROG_M,MATPROG_M_LOWER,MATPROG_M_UPPER,MATPROG_H,MATPROG_H_LOWER,MATPROG_H_UPPER,MATPROG_FSM6CLA1A,MATPROG_FSM6CLA1A_LOWER,MATPROG_FSM6CLA1A_UPPER,MATPROG_NotFSM6CLA1A,MATPROG_NotFSM6CLA1A_LOWER,MATPROG_NotFSM6CLA1A_UPPER,DIFFN_MATPROG,MATPROG_EAL,MATPROG_EAL_LOWER,MATPROG_EAL_UPPER,MATPROG_MOBN,MATPROG_MOBN_LOWER,MATPROG_MOBN_UPPER,READ_AVERAGE_B,READ_AVERAGE_G,READ_AVERAGE_L,READ_AVERAGE_M,READ_AVERAGE_H,READ_AVERAGE_FSM6CLA1A,READ_AVERAGE_NotFSM6CLA1A,READ_AVERAGE_EAL,READ_AVERAGE_MOBN,MAT_AVERAGE_B,MAT_AVERAGE_G,MAT_AVERAGE_L,MAT_AVERAGE_M,MAT_AVERAGE_H,MAT_AVERAGE_FSM6CLA1A,MAT_AVERAGE_NotFSM6CLA1A,MAT_AVERAGE_EAL,MAT_AVERAGE_MOBN,GPS_AVERAGE_B,GPS_AVERAGE_G,GPS_AVERAGE_L,GPS_AVERAGE_M,GPS_AVERAGE_H,GPS_AVERAGE_FSM6CLA1A,GPS_AVERAGE_NotFSM6CLA1A,GPS_AVERAGE_EAL,GPS_AVERAGE_MOBN,PTREAD_EXP_L,PTREAD_EXP_M,PTREAD_EXP_H,PTREAD_EXP_FSM6CLA1A,PTREAD_EXP_NotFSM6CLA1A,PTGPS_EXP_L,PTGPS_EXP_M,PTGPS_EXP_H,PTGPS_EXP_FSM6CLA1A,PTGPS_EXP_NotFSM6CLA1A,PTMAT_EXP_L,PTMAT_EXP_M,PTMAT_EXP_H,PTMAT_EXP_FSM6CLA1A,PTMAT_EXP_NotFSM6CLA1A,PTWRITTA_EXP_L,PTWRITTA_EXP_M,PTWRITTA_EXP_H,PTWRITTA_EXP_FSM6CLA1A,PTWRITTA_EXP_NotFSM6CLA1A,PTREAD_HIGH_L,PTREAD_HIGH_M,PTREAD_HIGH_H,PTREAD_HIGH_FSM6CLA1A,PTREAD_HIGH_NotFSM6CLA1A,PTGPS_HIGH_L,PTGPS_HIGH_M,PTGPS_HIGH_H,PTGPS_HIGH_FSM6CLA1A,PTGPS_HIGH_NotFSM6CLA1A,PTMAT_HIGH_L,PTMAT_HIGH_M,PTMAT_HIGH_H,PTMAT_HIGH_FSM6CLA1A,PTMAT_HIGH_NotFSM6CLA1A,PTWRITTA_HIGH_L,PTWRITTA_HIGH_M,PTWRITTA_HIGH_H,PTWRITTA_HIGH_FSM6CLA1A,PTWRITTA_HIGH_NotFSM6CLA1A,TEALGRP1,PTEALGRP1,TEALGRP3,PTEALGRP3,TSENELE,PSENELE,TSENELK,PSENELK,TSENELEK,PSENELEK,TELIG_18,PTFSM6CLA1A_18,PTNOTFSM6CLA1A_18,PTRWM_EXP_18,PTRWM_HIGH_18,PTRWM_EXP_FSM6CLA1A_18,PTRWM_HIGH_FSM6CLA1A_18,PTRWM_EXP_NotFSM6CLA1A_18,PTRWM_HIGH_NotFSM6CLA1A_18,READPROG_18,READPROG_LOWER_18,READPROG_UPPER_18,WRITPROG_18,WRITPROG_LOWER_18,WRITPROG_UPPER_18,MATPROG_18,MATPROG_LOWER_18,MATPROG_UPPER_18,READ_AVERAGE_18,MAT_AVERAGE_18,TELIG_17,PTFSM6CLA1A_17,PTNOTFSM6CLA1A_17,PTRWM_EXP_17,PTRWM_HIGH_17,PTRWM_EXP_FSM6CLA1A_17,PTRWM_HIGH_FSM6CLA1A_17,PTRWM_EXP_NotFSM6CLA1A_17,PTRWM_HIGH_NotFSM6CLA1A_17,READPROG_17,READPROG_LOWER_17,READPROG_UPPER_17,WRITPROG_17,WRITPROG_LOWER_17,WRITPROG_UPPER_17,MATPROG_17,MATPROG_LOWER_17,MATPROG_UPPER_17,READ_AVERAGE_17,MAT_AVERAGE_17,TELIG_3YR,PTRWM_EXP_3YR,PTRWM_HIGH_3YR,READ_AVERAGE_3YR,MAT_AVERAGE_3YR,READPROG_UNADJUSTED,WRITPROG_UNADJUSTED,MATPROG_UNADJUSTED,READPROG_DESCR_17,WRITPROG_DESCR_17,MATPROG_DESCR_17,READPROG_DESCR_18,WRITPROG_DESCR_18,MATPROG_DESCR_18,READPROG_DESCR,WRITPROG_DESCR,MATPROG_DESCR
1,66562,936,2004,145543,Wyke Primary School,School Lane,Normandy,,Guildford,GU3 2HS,01483811197,E14001047,Woking,0,,,ACC,0,Does not apply,4-11,,0,0,197,27,27,16,11,59%,41%,16.3,3,11%,14,52%,10,37%,0,0%,3,11%,24,89%,1,4%,26,96%,78%,11%,1.7,-0.6,4.1,100%,1.9,-0.2,4.1,100%,2,-0.2,4.1,89%,78%,26%,0%,106,89%,26%,0%,107,89%,33%,0%,108,93%,22%,7%,0%,100%,0%,81%,73%,SUPP,79%,100%,SUPP,SUPP,SUPP,SUPP,81%,13%,9%,SUPP,7%,20%,SUPP,SUPP,SUPP,SUPP,12%,1.7,-1.3,4.8,1.7,-1.9,5.4,SUPP,SUPP,SUPP,2.4,-0.9,5.6,1.3,-2.5,5.1,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,1.8,-0.6,4.2,2.4,-0.4,5.2,1.3,-2.1,4.6,SUPP,SUPP,SUPP,3.3,0.3,6.3,-0.7,-4.2,2.8,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,1.4,-0.7,3.6,3.6,0.9,6.4,-0.8,-4.3,2.7,NA,NA,NA,3.3,0.5,6.1,0.1,-3.3,3.4,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,2,-0.2,4.1,106,106,SUPP,105,112,SUPP,SUPP,SUPP,107,109,106,SUPP,107,110,SUPP,SUPP,SUPP,108,107,109,SUPP,106,112,SUPP,SUPP,SUPP,108,SUPP,79%,100%,SUPP,SUPP,SUPP,93%,100%,SUPP,SUPP,SUPP,100%,100%,SUPP,SUPP,SUPP,100%,100%,SUPP,SUPP,SUPP,21%,40%,SUPP,SUPP,SUPP,7%,60%,SUPP,SUPP,SUPP,14%,70%,SUPP,SUPP,SUPP,14%,40%,SUPP,SUPP,26,96%,0,0%,1,4%,4,15%,5,19%,29,24%,76%,66%,10%,57%,14%,68%,9%,-1,-3.2,1.2,1,-1.1,3.1,-0.2,-2.2,1.8,106,106,27,30%,70%,70%,15%,50%,0%,79%,21%,0.8,-1.7,3.3,1.9,-0.5,4.3,0.4,-1.9,2.7,106,106,83,71%,12%,106,107,1.7,1.9,2,3,3,3,3,3,3,3,3,3
1,12602,936,2006,138226,Cobham Free School,89-95 Portsmouth Road,,,Cobham,KT11 1JJ,03303300237,E14000697,Esher and Walton,0,,,F,0,Does not apply,4-18,,0,0,539,23,23,10,13,43%,57%,18,0,0%,13,59%,9,41%,1,4%,2,9%,21,91%,0,0%,20,87%,83%,17%,1.2,-1.4,3.8,96%,-1.2,-3.6,1.2,96%,0.3,-2,2.5,96%,91%,43%,0%,109,100%,43%,0%,109,100%,39%,0%,108,87%,26%,13%,0%,96%,0%,70%,92%,,77%,89%,SUPP,SUPP,SUPP,,85%,0%,31%,,0%,44%,SUPP,SUPP,SUPP,,20%,0.6,-3.3,4.4,1.7,-1.8,5.2,NA,NA,NA,0.5,-2.9,3.8,2.2,-1.8,6.3,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,NA,NA,NA,1.5,-1.2,4.2,-2.9,-6.5,0.6,0.3,-2.9,3.5,NA,NA,NA,-1.8,-4.9,1.3,-0.3,-4,3.5,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,NA,NA,NA,-0.8,-3.3,1.7,0.6,-2.8,3.9,0,-3,3.1,NA,NA,NA,-0.5,-3.4,2.4,1.4,-2.1,4.9,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,NA,NA,NA,0.4,-1.9,2.8,107,110,,105,113,SUPP,SUPP,,109,108,109,,105,113,SUPP,SUPP,,108,108,110,,105,114,SUPP,SUPP,,110,,92%,89%,SUPP,SUPP,,100%,100%,SUPP,SUPP,,100%,100%,SUPP,SUPP,,77%,100%,SUPP,SUPP,,8%,89%,SUPP,SUPP,,8%,89%,SUPP,SUPP,,8%,78%,SUPP,SUPP,,8%,56%,SUPP,SUPP,23,100%,0,0%,1,4%,1,4%,2,9%,24,13%,88%,83%,25%,SUPP,SUPP,SUPP,SUPP,1.5,-0.9,3.9,0.1,-2.2,2.4,1.8,-0.4,4,109,108,24,13%,88%,83%,13%,SUPP,SUPP,SUPP,SUPP,3.9,1.2,6.6,-0.5,-3,2,3.2,0.8,5.6,109,108,71,83%,18%,109,108,1.2,-1.2,0.3,1,3,2,3,3,3,3,3,3
1,29932,936,2008,124937,Kingswood Primary School,Buckland Road,Lower Kingswood,,Tadworth,KT20 7EA,01737832135,E14000893,Reigate,0,,,CY,0,Does not apply,4-11,,0,0,197,26,26,10,16,38%,62%,15.5,3,12%,17,68%,5,20%,1,4%,0,0%,26,100%,1,4%,26,100%,65%,12%,1.4,-1,3.9,92%,2.1,-0.2,4.3,96%,1.6,-0.6,3.7,92%,73%,19%,4%,104,88%,50%,4%,109,85%,23%,4%,105,77%,31%,23%,0%,88%,0%,50%,75%,SUPP,65%,SUPP,,SUPP,,SUPP,65%,20%,6%,SUPP,6%,SUPP,,SUPP,,SUPP,12%,1.5,-2.3,5.4,1.4,-1.8,4.6,SUPP,SUPP,SUPP,0.9,-2.1,4,SUPP,SUPP,SUPP,,,,SUPP,SUPP,SUPP,,NA,NA,NA,1.4,-1,3.9,0.7,-2.8,4.3,3,0.1,5.9,SUPP,SUPP,SUPP,0,-2.7,2.7,SUPP,SUPP,SUPP,,,,SUPP,SUPP,SUPP,,NA,NA,NA,2.1,-0.2,4.3,5.1,1.7,8.4,-0.9,-3.7,1.9,SUPP,SUPP,SUPP,0.6,-2.1,3.2,SUPP,SUPP,SUPP,,,,SUPP,SUPP,SUPP,,NA,NA,NA,1.6,-0.6,3.7,103,105,SUPP,104,SUPP,,SUPP,SUPP,104,107,104,SUPP,104,SUPP,,SUPP,SUPP,105,106,111,SUPP,109,SUPP,,SUPP,SUPP,109,SUPP,71%,SUPP,,SUPP,SUPP,88%,SUPP,,SUPP,SUPP,88%,SUPP,,SUPP,SUPP,76%,SUPP,,SUPP,SUPP,12%,SUPP,,SUPP,SUPP,41%,SUPP,,SUPP,SUPP,12%,SUPP,,SUPP,SUPP,12%,SUPP,,SUPP,25,96%,0,0%,0,0%,4,15%,4,15%,28,4%,96%,82%,7%,SUPP,SUPP,SUPP,SUPP,0.4,-1.9,2.7,-1.1,-3.3,1.1,0.8,-1.3,2.9,107,107,30,23%,77%,70%,10%,57%,0%,74%,13%,2.6,0.4,4.8,0.6,-1.6,2.8,2.2,0.2,4.2,106,106,84,73%,10%,106,106,1.4,2.1,1.6,2,3,2,3,3,3,3,3,3
1,62338,936,2010,140810,Warren Mead Junior School,Roundwood Way,Nork,,Banstead,SM7 1EJ,01737353725,E14000694,Epsom and Ewell,0,,,ACC,0,Does not apply,7-11,R,0,0,306,79,79,39,40,49%,51%,17.9,0,0%,34,46%,40,54%,5,6%,13,16%,66,84%,6,8%,74,94%,82%,13%,0.4,-1,1.8,94%,-0.6,-1.9,0.7,94%,1.2,0,2.4,94%,91%,34%,0%,107,86%,51%,0%,109,91%,44%,0%,108,92%,22%,8%,0%,94%,0%,85%,80%,,62%,98%,62%,86%,-9,100%,84%,10%,15%,,0%,25%,8%,14%,-5,17%,12%,0.4,-1.6,2.3,0.5,-1.5,2.5,NA,NA,NA,0.7,-1.3,2.8,0.1,-1.8,2,0.5,-2.8,3.9,0.4,-1.2,1.9,0.2,SUPP,SUPP,SUPP,0.3,-1.1,1.8,-1.8,-3.6,0.1,0.6,-1.2,2.5,NA,NA,NA,0.2,-1.7,2.1,-1.3,-3,0.5,1.9,-1.2,5,-1.1,-2.5,0.3,1.6,SUPP,SUPP,SUPP,-0.6,-1.9,0.8,3,1.3,4.7,-0.6,-2.4,1.1,NA,NA,NA,0.1,-1.7,1.9,2.1,0.5,3.8,0,-2.9,2.9,1.5,0.1,2.8,-0.4,SUPP,SUPP,SUPP,1,-0.2,2.3,108,107,,104,111,103,108,109,107,110,106,,104,113,103,109,113,108,109,108,,103,113,102,110,115,109,,79%,100%,77%,94%,,68%,100%,62%,91%,,79%,100%,85%,92%,,85%,98%,85%,94%,,18%,53%,8%,39%,,26%,73%,8%,59%,,15%,75%,8%,52%,,3%,40%,15%,23%,73,92%,0,0%,1,1%,9,11%,10,13%,79,11%,89%,72%,14%,56%,0%,74%,16%,-1.1,-2.5,0.3,-1.4,-2.7,-0.1,-0.9,-2.1,0.3,106,105,69,7%,93%,72%,13%,SUPP,SUPP,SUPP,SUPP,0.2,-1.3,1.7,0.2,-1.2,1.6,0.3,-1,1.6,107,107,227,76%,13%,107,107,0.4,-0.6,1.2,3,3,3,3,4,3,3,3,3
1,63882,936,2011,139070,Weyfield Academy,School Close,Off Woking Road,,Guildford,GU1 1QJ,01483598956,E14000719,Guildford,0,,,AC,0,Does not apply,4-11,,0,0,264,39,35,22,13,63%,37%,16.9,1,3%,17,52%,15,45%,2,6%,17,49%,18,51%,10,29%,34,97%,31%,3%,-5.7,-7.9,-3.6,91%,-6.9,-8.8,-4.9,94%,-7.3,-9.2,-5.5,94%,46%,11%,3%,99,46%,9%,0%,98,43%,14%,0%,99,49%,3%,40%,0%,46%,0%,36%,23%,SUPP,18%,47%,24%,39%,-47,40%,32%,0%,8%,SUPP,0%,7%,0%,6%,-13,0%,3%,-4.5,-7.2,-1.8,-7.8,-11.3,-4.3,SUPP,SUPP,SUPP,-5.1,-8.1,-2.1,-6.4,-9.6,-3.3,-7.3,-10.4,-4.3,-4.1,-7.1,-1.1,-7.6,-3.1,-7.4,1.2,-5.7,-7.9,-3.6,-6.4,-8.9,-4,-7.6,-10.8,-4.4,SUPP,SUPP,SUPP,-8.4,-11.1,-5.7,-6.3,-9.2,-3.4,-8.4,-11.1,-5.7,-5.2,-8,-2.4,-8.7,-5.7,-9.4,-2,-6.8,-8.8,-4.8,-6.4,-8.7,-4.1,-8.9,-12,-5.9,SUPP,SUPP,SUPP,-9.3,-11.8,-6.7,-4.9,-7.7,-2.2,-9.6,-12.1,-7,-4.9,-7.6,-2.3,-10,-3.6,-7.1,-0.1,-7.4,-9.2,-5.5,100,97,SUPP,97,103,96,102,101,99,100,99,SUPP,96,105,97,101,101,100,98,97,SUPP,95,102,96,100,99,98,SUPP,35%,60%,24%,67%,SUPP,29%,67%,35%,56%,SUPP,24%,67%,35%,50%,SUPP,24%,73%,35%,61%,SUPP,0%,27%,0%,22%,SUPP,6%,13%,6%,11%,SUPP,6%,27%,6%,22%,SUPP,0%,7%,0%,6%,25,71%,0,0%,1,3%,8,23%,9,26%,42,62%,38%,50%,5%,46%,0%,56%,13%,-1.8,-3.7,0.1,1.6,-0.2,3.4,-0.2,-1.9,1.5,101,101,46,48%,52%,39%,4%,23%,0%,54%,8%,-2,-3.8,-0.2,0.2,-1.6,2,-2.6,-4.3,-0.9,98,98,123,41%,4%,99,100,-5.7,-7.2,-7.7,4,3,4,3,3,3,5,5,5
1,62186,936,2012,124939,Walton-on-the-Hill Primary School,Walton Street,Walton-on-the-Hill,,Tadworth,KT20 7RR,01737812103,E14000893,Reigate,0,,,CY,0,Does not apply,5-11,R,0,0,212,30,30,15,15,50%,50%,17.8,0,0%,13,43%,17,57%,0,0%,3,10%,27,90%,1,3%,30,100%,80%,13%,-0.4,-2.6,1.8,100%,-0.1,-2.1,2,100%,0.7,-1.2,2.6,100%,83%,37%,0%,107,90%,53%,0%,109,93%,27%,0%,108,87%,33%,13%,0%,93%,0%,67%,93%,,62%,94%,SUPP,SUPP,SUPP,SUPP,80%,20%,7%,,0%,24%,SUPP,SUPP,SUPP,SUPP,13%,-2.7,-5.9,0.4,2,-1.1,5.1,NA,NA,NA,-1.8,-5.1,1.6,0.7,-2.2,3.6,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,-0.4,-2.6,1.8,-1.3,-4.1,1.6,1.1,-1.8,4,NA,NA,NA,-1.8,-4.9,1.3,1.2,-1.5,3.9,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,-0.1,-2.1,2,1.7,-1,4.4,-0.3,-3,2.4,NA,NA,NA,1.3,-1.6,4.2,0.2,-2.3,2.8,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,0.7,-1.2,2.6,104,109,,101,111,SUPP,SUPP,SUPP,107,108,107,,105,110,SUPP,SUPP,SUPP,108,109,109,,105,112,SUPP,SUPP,SUPP,109,,69%,94%,SUPP,SUPP,,77%,100%,SUPP,SUPP,,85%,100%,SUPP,SUPP,,69%,100%,SUPP,SUPP,,0%,65%,SUPP,SUPP,,31%,71%,SUPP,SUPP,,15%,35%,SUPP,SUPP,,0%,59%,SUPP,SUPP,29,97%,0,0%,1,3%,5,17%,6,20%,30,10%,90%,87%,23%,SUPP,SUPP,SUPP,SUPP,1.8,-0.4,4,1.1,-1,3.2,1.6,-0.4,3.6,109,108,30,13%,87%,80%,17%,SUPP,SUPP,SUPP,SUPP,2.6,0.3,4.9,2.1,-0.1,4.3,3.5,1.5,5.5,107,108,90,82%,18%,108,108,-0.4,-0.1,0.7,2,3,1,3,3,3,3,3,3
1,66048,936,2013,124940,Woodmansterne Primary School,Carshalton Road,Woodmansterne,,Banstead,SM7 3HU,01737353120,E14000893,Reigate,147257,Woodmansterne Primary School,20190701,CY,0,Does not apply,4-11,,0,0,350,58,58,24,34,41%,59%,17.1,3,5%,25,43%,30,52%,0,0%,11,19%,47,81%,0,0%,53,91%,66%,22%,0.7,-0.9,2.3,98%,0.7,-0.8,2.2,100%,0.4,-1,1.8,100%,78%,45%,0%,107,79%,36%,0%,107,84%,41%,0%,107,83%,36%,16%,0%,84%,0%,58%,71%,SUPP,36%,97%,45%,70%,-26,,66%,17%,26%,SUPP,0%,43%,9%,26%,-4,,23%,0,-2.5,2.5,1.2,-0.9,3.3,SUPP,SUPP,SUPP,1.2,-1.2,3.6,0.6,-1.6,2.8,2.2,-1.4,5.9,0.3,-1.4,2.1,1.9,NA,NA,NA,0.2,-1.5,1.9,0.9,-1.4,3.2,0.6,-1.4,2.5,SUPP,SUPP,SUPP,-0.4,-2.6,1.8,1.5,-0.5,3.5,-0.9,-4.3,2.4,1.1,-0.6,2.7,-1.2,NA,NA,NA,0.9,-0.6,2.4,2.3,0.1,4.5,-0.9,-2.8,0.9,SUPP,SUPP,SUPP,-0.8,-2.9,1.3,1.3,-0.6,3.2,0.3,-2.9,3.4,0.4,-1.1,2,-0.1,NA,NA,NA,0.3,-1.2,1.7,105,109,SUPP,103,111,106,107,,107,107,107,SUPP,102,112,104,108,,107,104,108,SUPP,101,112,104,107,,107,SUPP,64%,97%,64%,81%,SUPP,60%,100%,64%,83%,SUPP,68%,100%,64%,89%,SUPP,68%,100%,64%,87%,SUPP,24%,67%,45%,45%,SUPP,4%,67%,27%,38%,SUPP,0%,80%,18%,47%,SUPP,4%,67%,18%,40%,58,100%,0,0%,2,3%,5,9%,7,12%,57,28%,72%,56%,12%,44%,6%,61%,15%,-1.1,-2.7,0.5,0.4,-1.1,1.9,-1.6,-3,-0.2,105,103,45,18%,82%,64%,11%,63%,0%,65%,14%,-0.7,-2.5,1.1,-1.4,-3.2,0.4,-3.5,-5.2,-1.8,106,103,160,62%,16%,106,105,0.7,0.7,0.4,3,3,5,3,3,4,3,3,3
1,31770,936,2014,139557,Lime Tree Primary School,Battlebridge Lane,,,Merstham,RH1 3LH,01737645836,E14000893,Reigate,0,,,AC,0,Does not apply,3-11,,0,0,445,0
1,49626,936,2016,139721,St John's Church of England Primary School,Goodwyns Road,,,Dorking,RH4 2LR,01306884506,E14000824,Mole Valley,0,,,AC,0,Church of England,3-11,,0,0,244,28,29,18,11,62%,38%,14,8,28%,16,55%,5,17%,0,0%,16,55%,13,45%,2,7%,27,93%,76%,7%,6.5,4.1,8.8,90%,3.7,1.6,5.8,100%,5.6,3.5,7.7,86%,90%,21%,0%,107,83%,38%,0%,109,86%,24%,0%,108,79%,24%,10%,0%,79%,0%,72%,82%,13%,100%,SUPP,75%,77%,4,SUPP,74%,6%,9%,0%,6%,SUPP,13%,0%,0,SUPP,7%,8.5,5.5,11.6,3.1,-0.7,7,SUPP,SUPP,SUPP,6,2.9,9,SUPP,SUPP,SUPP,6.4,3.2,9.6,6.5,3,10,6.1,SUPP,SUPP,SUPP,6.6,4.1,9,4,1.4,6.6,3.2,-0.2,6.6,1,-3,4.9,4.7,1.9,7.5,SUPP,SUPP,SUPP,2.5,-0.3,5.3,5.2,2.1,8.3,2.2,SUPP,SUPP,SUPP,3.8,1.6,5.9,6.6,3.9,9.3,4.1,0.8,7.5,SUPP,SUPP,SUPP,5.2,2.6,7.9,SUPP,SUPP,SUPP,7.2,4.4,10,3.6,0.5,6.8,6.8,SUPP,SUPP,SUPP,5.7,3.5,7.9,108,106,106,108,SUPP,107,108,SUPP,107,107,108,107,108,SUPP,108,107,SUPP,108,108,109,105,108,SUPP,107,110,SUPP,109,63%,100%,SUPP,88%,92%,38%,100%,SUPP,81%,85%,50%,100%,SUPP,88%,85%,25%,100%,SUPP,75%,85%,13%,25%,SUPP,19%,23%,25%,31%,SUPP,25%,54%,13%,25%,SUPP,25%,23%,0%,19%,SUPP,13%,38%,27,93%,0,0%,2,7%,10,34%,12,41%,19,68%,32%,79%,0%,77%,0%,83%,0%,6.4,3.7,9.1,2.8,0.2,5.4,6.3,3.8,8.8,107,108,18,50%,50%,61%,11%,56%,11%,67%,11%,5.8,2.8,8.8,5,2.1,7.9,7.7,4.8,10.6,104,109,66,73%,6%,106,108,6.5,3.7,5.6,1,1,1,1,1,1,1,1,1
