time_period,time_identifier,geographic_level,country_code,country_name,region_code,region_name,new_la_code,old_la_code,la_name,school_phase,NC_year_admission,admission_numbers,applications_received,online_applications,online_apps_percent,no_of_preferences,first_preference_offers,first_preference_offers_percent,second_preference_offers,second_preference_offers_percent,third_preference_offers,third_preference_offers_percent,one_of_the_three_preference_offers,one_of_the_three_preference_offers_percent,preferred_school_offer,preferred_school_offer_percent,non_preferred_offer,non_preferred_offer_percent,no_offer,no_offer_percent,schools_in_la_offer,schools_in_la_offer_percent,schools_in_another_la_offer,schools_in_another_la_offer_percent,offers_to_nonapplicants
201516,Academic year,Local authority,E92000001,England,E12000007,INNER LONDON,E09000019,206,Islington,Primary,R,2202,2077,2077,100,6,1587,76.40828117,212,10.20702937,84,4.044294656,1883,90.6596052,1970,94.84833895,0,0,107,5.15166105,1778,90.25380711,192,9.746192893,0
201516,Academic year,Local authority,E92000001,England,E12000007,INNER LONDON,E09000020,207,Kensington and Chelsea,Primary,R,1065,948,878,92.61603376,6,559,58.96624473,112,11.81434599,49,5.168776371,720,75.94936709,798,84.17721519,150,15.82278481,0,0,778,82.06751055,170,17.93248945,0
201516,Academic year,Local authority,E92000001,England,E12000007,INNER LONDON,E09000022,208,Lambeth,Primary,R,3529,2993,2903,96.99298363,6,2461,82.22519211,272,9.087871701,103,3.441363181,2836,94.754427,2909,97.19345139,84,2.806548613,0,0,2720,90.87871701,273,9.121282994,0
201516,Academic year,Local authority,E92000001,England,E12000007,INNER LONDON,E09000023,209,Lewisham,Primary,R,3943,3970,3917,98.66498741,6,2984,75.16372796,376,9.471032746,161,4.055415617,3521,88.69017632,3698,93.14861461,0,0,272,6.85138539,3413,92.29313142,285,7.706868578,0
201516,Academic year,Local authority,E92000001,England,E12000007,INNER LONDON,E09000028,210,Southwark,Primary,R,3793,3509,3476,99.05956113,6,2808,80.02279852,304,8.663436877,113,3.220290681,3225,91.90652608,3353,95.55428897,155,4.417212881,1,0.028498148,3287,93.70011403,221,6.299885975,0
201516,Academic year,Local authority,E92000001,England,E12000007,INNER LONDON,E09000030,211,Tower Hamlets,Primary,R,3680,3285,1922,58.50837139,6,2797,85.14459665,211,6.423135464,105,3.196347032,3113,94.76407915,3173,96.59056317,112,3.409436834,0,0,3218,97.96042618,67,2.03957382,0
201516,Academic year,Local authority,E92000001,England,E12000007,INNER LONDON,E09000032,212,Wandsworth,Primary,R,3289,3091,2533,81.94758978,6,2394,77.45066322,281,9.090909091,153,4.949854416,2828,91.49142672,2943,95.21190553,148,4.788094468,0,0,2898,93.756066,193,6.243934002,0
201516,Academic year,Local authority,E92000001,England,E12000007,INNER LONDON,E09000033,213,Westminster,Primary,R,1812,1446,1287,89.00414938,6,1161,80.29045643,128,8.852005533,60,4.149377593,1349,93.29183956,1390,96.12724758,56,3.87275242,0,0,1323,91.49377593,123,8.506224066,0
201516,Academic year,Local authority,E92000001,England,E12000007,OUTER LONDON,E09000002,301,Barking and Dagenham,Primary,R,3890,3591,3490,97.18741298,6,3256,90.67112225,173,4.817599554,75,2.08855472,3504,97.57727652,3526,98.18991924,65,1.810080757,0,0,3388,94.34697856,203,5.653021442,0
201516,Academic year,Local authority,E92000001,England,E12000007,OUTER LONDON,E09000003,302,Barnet,Primary,R,4608,4410,4300,97.50566893,6,3527,79.97732426,323,7.324263039,157,3.560090703,4007,90.861678,4161,94.3537415,248,5.623582766,1,0.022675737,4093,92.81179138,317,7.188208617,1
