"URN","LA (code)","EstablishmentNumber","EstablishmentName","EstablishmentTypeGroup (name)","PhaseOfEducation (name)","ReligiousCharacter (name)","PercentageFSM","DistrictAdministrative (name)","OfstedRating (name)"
116334,"850","3190","Leesland Church of England Controlled Junior School","Local authority maintained schools","Primary","Church of England","23.4","Gosport","Good"
116335,"850","3191","Leesland Church of England Controlled Infant School","Local authority maintained schools","Primary","Church of England","20.5","Gosport","Good"
116336,"850","3192","Newtown Church of England Voluntary Controlled Primary School","Local authority maintained schools","Primary","Church of England","33.6","Gosport","Good"
116337,"850","3196","Rowledge Church of England Controlled Primary School","Local authority maintained schools","Primary","Church of England","4.2","East Hampshire","Good"
116338,"850","3197","Bartley Church of England Junior School","Local authority maintained schools","Primary","Church of England","4.3","New Forest","Good"
116345,"850","3213","Whitewater Church of England Primary School","Local authority maintained schools","Primary","Church of England","5.1","Hart","Requires improvement"
116348,"850","3300","Amport Church of England Primary School","Local authority maintained schools","Primary","Church of England","0","Test Valley","Good"
116349,"850","3301","Appleshaw St Peter's CofE Primary School","Local authority maintained schools","Primary","Church of England","2.9","Test Valley","Good"
116350,"850","3305","St Mary's Church of England Voluntary Aided Junior School","Local authority maintained schools","Primary","Church of England","3.4","Basingstoke and Deane","Good"
116351,"850","3308","St Mary's Bentworth Church of England Primary School","Local authority maintained schools","Primary","Church of England","10.8","East Hampshire","Good"
116352,"850","3310","St Matthew's Church of England Aided Primary School","Local authority maintained schools","Primary","Church of England","6.4","East Hampshire","Good"
116353,"850","3311","William Gilpin Church of England Primary School","Local authority maintained schools","Primary","Church of England","4.7","New Forest","Good"
116354,"850","3318","Compton All Saints Church of England Primary School","Local authority maintained schools","Primary","Church of England","6.1","Winchester","Good"
116355,"850","3321","Dogmersfield Church of England Primary School","Local authority maintained schools","Primary","Church of England","4.5","Hart","Good"
116356,"850","3325","St Martin's East Woodhay Church of England (Aided) Primary School","Local authority maintained schools","Primary","Church of England","0.8","Basingstoke and Deane","Good"
116357,"850","3326","Charles Kingsley's Church of England Primary School","Local authority maintained schools","Primary","Church of England","5","Hart","Outstanding"
116358,"850","3330","All Saints Church of England Aided Junior School","Local authority maintained schools","Primary","Church of England","9.1","Hart","Good"
116359,"850","3341","Hatherden Church of England Primary School","Local authority maintained schools","Primary","Church of England","4.4","Test Valley","Serious Weaknesses"
116360,"850","3344","Andrews' Endowed Church of England Primary School","Local authority maintained schools","Primary","Church of England","5.9","East Hampshire","Good"
116361,"850","3345","John Keble Church of England Primary School","Local authority maintained schools","Primary","Church of England","4.7","Winchester","Good"
116362,"850","3346","St Alban's Church of England Aided Primary School","Local authority maintained schools","Primary","Church of England","11","Havant","Outstanding"
116363,"850","3356","Lockerley Church of England Endowed Primary School","Local authority maintained schools","Primary","Church of England","7.4","Test Valley","Good"
116364,"850","3357","Longparish Church of England Primary School","Local authority maintained schools","Primary","Church of England","4.7","Test Valley","Outstanding"
116365,"850","3358","Lymington Church of England Infant School","Local authority maintained schools","Primary","Church of England","5.6","New Forest","Outstanding"
116366,"850","3360","St Michael and All Angels CofE Infant School","Local authority maintained schools","Primary","Church of England","2.5","New Forest","Good"
116368,"850","3382","Romsey Abbey Church of England Primary School","Local authority maintained schools","Primary","Church of England","21.6","Test Valley","Good"
116369,"850","3389","Silchester Church of England Primary School","Local authority maintained schools","Primary","Church of England","1.4","Basingstoke and Deane","Good"
116370,"850","3390","Smannell and Enham Church of England (Aided) Primary School","Local authority maintained schools","Primary","Church of England","10.2","Test Valley","Good"
116371,"850","3392","Swanmore Church of England Aided Primary School","Local authority maintained schools","Primary","Church of England","9.3","Winchester","Good"
116372,"850","3395","Upham Church of England Aided Primary School","Local authority maintained schools","Primary","Church of England","3.1","Winchester","Good"
116373,"850","3396","Clatford Church of England Primary School","Local authority maintained schools","Primary","Church of England","5.2","Test Valley","Outstanding"
116374,"850","3399","St Faith's Church of England Primary School","Local authority maintained schools","Primary","Church of England","0","Winchester","Outstanding"
116375,"850","3401","Kimpton, Thruxton and Fyfield Church of England Primary School","Local authority maintained schools","Primary","Church of England","4.8","Test Valley","Good"
116376,"850","3404","St Jude's Catholic Primary School","Local authority maintained schools","Primary","Roman Catholic","10","Fareham","Good"
116377,"850","3407","St Thomas More's Catholic Primary School, Havant","Local authority maintained schools","Primary","Roman Catholic","11","Havant","Good"
116378,"850","3409","Our Lady and St Joseph Catholic Primary School","Local authority maintained schools","Primary","Roman Catholic","14.3","New Forest","Good"
116380,"850","3415","St Bede's Catholic Primary School","Local authority maintained schools","Primary","Roman Catholic","3","Basingstoke and Deane","Good"
116381,"850","3417","St Peter's Catholic Primary School, Winchester","Local authority maintained schools","Primary","Roman Catholic","7.9","Winchester","Outstanding"
116382,"850","3418","St John the Baptist Catholic Primary School, Andover","Local authority maintained schools","Primary","Roman Catholic","5.6","Test Valley","Outstanding"
116383,"850","3419","St Swithun Wells Catholic Primary School, Chandlers Ford","Local authority maintained schools","Primary","Roman Catholic","4","Eastleigh","Good"
116387,"850","3426","Western Downland Church of England Aided Primary School","Local authority maintained schools","Primary","Church of England","5.6","New Forest","Good"
116388,"850","3500","St Peter's Church of England Aided Junior School","Local authority maintained schools","Primary","Church of England","9.4","Rushmoor","Requires improvement"
116389,"850","3501","St Mark's Church of England Aided Primary School","Local authority maintained schools","Primary","Church of England","2.9","Rushmoor","Outstanding"
116390,"850","3551","St Patrick's Catholic Primary School","Local authority maintained schools","Primary","Roman Catholic","9.9","Rushmoor","Good"
116391,"850","3553","St Bernadette's Catholic Primary School","Local authority maintained schools","Primary","Roman Catholic","9.2","Rushmoor","Requires improvement"
116392,"850","3600","Alverstoke Church of England Aided Junior School","Local authority maintained schools","Primary","Church of England","4.8","Gosport","Good"
116393,"850","3602","St John's, Gosport Church of England Voluntary Aided Primary School","Local authority maintained schools","Primary","Church of England","24.4","Gosport","Good"
116394,"850","3650","St Mary's Catholic Primary School","Local authority maintained schools","Primary","Roman Catholic","19","Gosport","Requires improvement"
116399,"850","3660","Selborne Church of England Primary School","Local authority maintained schools","Primary","Church of England","1.9","East Hampshire","Good"
116400,"850","3661","St John's Church of England Voluntary Aided Primary School","Local authority maintained schools","Primary","Church of England","8.3","Basingstoke and Deane","Good"
116402,"850","3663","St Francis Church of England Primary School","Local authority maintained schools","Primary","Church of England","1.2","Test Valley","Outstanding"
116403,"850","3666","Crookham Church of England Aided Infant School","Local authority maintained schools","Primary","Church of England","0.6","Hart","Good"
116407,"850","4012","The Westgate School","Local authority maintained schools","All-through","Does not apply","5.5","Winchester","Good"
116482,"850","5202","Abbotswood Junior School","Local authority maintained schools","Primary","None","18.4","New Forest","Good"
116483,"850","5203","Calmore Junior School","Local authority maintained schools","Primary","None","20.5","New Forest","Good"
116486,"850","5206","Hordle CofE (VA) Primary School","Local authority maintained schools","Primary","Church of England","9.2","New Forest","Outstanding"
116488,"850","5208","Ashley Junior School","Local authority maintained schools","Primary","None","19.4","New Forest","Good"
116489,"850","5209","St Peter's Catholic Primary School, Waterlooville","Local authority maintained schools","Primary","Roman Catholic","6.4","Havant","Good"
116490,"850","5210","Mill Rythe Infant School","Local authority maintained schools","Primary","None","14.3","Havant","Good"
124937,"936","2008","Kingswood Primary School","Local authority maintained schools","Primary","Does not apply","2.9","Reigate and Banstead","Good"
124939,"936","2012","Walton-on-the-Hill Primary School","Local authority maintained schools","Primary","Does not apply","4.3","Reigate and Banstead","Outstanding"
124946,"936","2056","Charlwood Village Primary School","Local authority maintained schools","Primary","Does not apply","10.6","Mole Valley","Good"
124949,"936","2072","North Downs Primary School","Local authority maintained schools","Primary","Does not apply","4.9","Mole Valley","Good"
124952,"936","2078","Trumps Green Infant School","Local authority maintained schools","Primary","Does not apply","6.6","Runnymede","Outstanding"
124953,"936","2079","Manorcroft Primary School","Local authority maintained schools","Primary","Does not apply","9.5","Runnymede","Good"
124955,"936","2083","Ewell Grove Primary and Nursery School","Local authority maintained schools","Primary","Does not apply","6.1","Epsom and Ewell","Outstanding"
124956,"936","2085","Epsom Primary and Nursery School","Local authority maintained schools","Primary","Does not apply","19.2","Epsom and Ewell","Good"
124959,"936","2091","The Mead Infant and Nursery School","Local authority maintained schools","Primary","Does not apply","2.3","Epsom and Ewell","Outstanding"
124964,"936","2099","The Orchard Infant School","Local authority maintained schools","Primary","None","2.6","Elmbridge","Outstanding"
124966,"936","2101","Long Ditton Infant and Nursery School","Local authority maintained schools","Primary","Does not apply","5.1","Elmbridge","Good"
124967,"936","2102","Thames Ditton Junior School","Local authority maintained schools","Primary","Does not apply","3.3","Elmbridge","Good"
124968,"936","2103","Thames Ditton Infant School","Local authority maintained schools","Primary","Does not apply","2.6","Elmbridge","Outstanding"
124971,"936","2124","Felbridge Primary School","Local authority maintained schools","Primary","Does not apply","1.9","Tandridge","Good"
124978,"936","2136","Beacon Hill Community Primary School","Local authority maintained schools","Primary","Does not apply","4.5","Waverley","Good"
124979,"936","2137","Shottermill Junior School","Local authority maintained schools","Primary","Does not apply","6.2","Waverley","Good"
124980,"936","2138","Shottermill Infant School","Local authority maintained schools","Primary","Does not apply","5.8","Waverley","Outstanding"
124981,"936","2140","Horley Infant School","Local authority maintained schools","Primary","Does not apply","5.5","Reigate and Banstead","Good"
124982,"936","2149","Barnett Wood Infant School","Local authority maintained schools","Primary","Does not apply","4.6","Mole Valley","Outstanding"
124983,"936","2150","Fetcham Village Infant School","Local authority maintained schools","Primary","Does not apply","7.6","Mole Valley","Outstanding"
124986,"936","2156","Dormansland Primary School","Local authority maintained schools","Primary","Does not apply","7","Tandridge","Good"
124987,"936","2209","Earlswood Infant and Nursery School","Local authority maintained schools","Primary","Does not apply","13.6","Reigate and Banstead","Good"
124994,"936","2257","Oatlands School","Local authority maintained schools","Primary","Does not apply","5.3","Elmbridge","Outstanding"
124996,"936","2268","Bagshot Infant School","Local authority maintained schools","Primary","Does not apply","15.2","Surrey Heath","Good"
125003,"936","2279","West Byfleet Infant School","Local authority maintained schools","Primary","Does not apply","7.1","Woking","Outstanding"
125004,"936","2286","Wood Street Infant School","Local authority maintained schools","Primary","Does not apply","13.5","Guildford","Outstanding"
125005,"936","2288","Shawley Community Primary School","Local authority maintained schools","Primary","Does not apply","15.7","Reigate and Banstead","Requires improvement"
125008,"936","2297","The Greville Primary School","Local authority maintained schools","Primary","Does not apply","7","Mole Valley","Good"
125009,"936","5220","Bushy Hill Junior School","Local authority maintained schools","Primary","None","12.3","Guildford","Good"
125010,"936","2302","Hurst Green Infant School","Local authority maintained schools","Primary","Does not apply","21.4","Tandridge","Good"
125012,"936","2311","Meath Green Junior School","Local authority maintained schools","Primary","Does not apply","8.6","Reigate and Banstead","Good"
125014,"936","2315","Milford School","Local authority maintained schools","Primary","Does not apply","5.6","Waverley","Good"
125017,"936","2329","Heather Ridge Infant School","Local authority maintained schools","Primary","Does not apply","5.6","Surrey Heath","Outstanding"
125019,"936","2335","Oakfield Junior School","Local authority maintained schools","Primary","Does not apply","9.8","Mole Valley","Good"
125021,"936","5218","Godstone Primary and Nursery School","Local authority maintained schools","Primary","None","21.6","Tandridge","Good"
125023,"936","2343","Banstead Community Junior School","Local authority maintained schools","Primary","Does not apply","9.8","Reigate and Banstead","Good"
125025,"936","2349","Worplesdon Primary School","Local authority maintained schools","Primary","Does not apply","8.8","Guildford","Good"
125026,"936","2350","West Ashtead Primary School","Local authority maintained schools","Primary","Does not apply","7.7","Mole Valley","Requires improvement"
125028,"936","2359","Prior Heath Infant School","Local authority maintained schools","Primary","Does not apply","3.4","Surrey Heath","Outstanding"
125029,"936","2361","Shawfield Primary School","Local authority maintained schools","Primary","Does not apply","18.8","Guildford","Good"
125037,"936","2384","The Grange Community Infant School","Local authority maintained schools","Primary","Does not apply","4.1","Runnymede","Good"
125038,"936","2385","Hurst Park Primary School","Local authority maintained schools","Primary","Does not apply","7","Elmbridge","Good"
125042,"936","2394","Ongar Place Primary School","Local authority maintained schools","Primary","Does not apply","18.9","Runnymede","Good"
125044,"936","2400","Godalming Junior School","Local authority maintained schools","Primary","Does not apply","7.9","Waverley","Good"
125048,"936","2408","Folly Hill Infant School","Local authority maintained schools","Primary","Does not apply","6.3","Waverley","Outstanding"
125049,"936","2409","Moss Lane School","Local authority maintained schools","Primary","Does not apply","6.3","Waverley","Good"
125051,"936","2415","Badshot Lea Village Infant School","Local authority maintained schools","Primary","Does not apply","5.6","Waverley","Good"
125052,"936","2417","Polesden Lacey Infant School","Local authority maintained schools","Primary","Does not apply","2.5","Mole Valley","Outstanding"
125055,"936","2427","Burhill Primary School","Local authority maintained schools","Primary","None","5.8","Elmbridge","Good"
125056,"936","2428","Grovelands Primary School","Local authority maintained schools","Primary","Does not apply","19.3","Elmbridge","Good"
125058,"936","2430","Bell Farm Primary School","Local authority maintained schools","Primary","Does not apply","14.9","Elmbridge","Good"
125060,"936","2435","Audley Primary School","Local authority maintained schools","Primary","Does not apply","13","Tandridge","Good"
125065,"936","2445","Meadowcroft Community Infant School","Local authority maintained schools","Primary","Does not apply","21.3","Runnymede","Good"
125066,"936","2446","Stamford Green Primary School","Local authority maintained schools","Primary","Does not apply","5.2","Epsom and Ewell","Outstanding"
125067,"936","2448","Onslow Infant School","Local authority maintained schools","Primary","Does not apply","4.6","Guildford","Good"
125068,"936","2453","Earlswood Junior School","Local authority maintained schools","Primary","Does not apply","14.8","Reigate and Banstead","Good"
125069,"936","2454","Holland Junior School","Local authority maintained schools","Primary","Does not apply","15.9","Tandridge","Good"
125070,"936","2457","Reigate Priory Community Junior School","Local authority maintained schools","Primary","Does not apply","4.2","Reigate and Banstead","Outstanding"
125072,"936","2467","Thorpe Lea Primary School","Local authority maintained schools","Primary","Does not apply","25","Runnymede","Good"
125073,"936","2468","St Ann's Heath Junior School","Local authority maintained schools","Primary","Does not apply","7.1","Runnymede","Good"
125075,"936","2472","Manby Lodge Infant School","Local authority maintained schools","Primary","Does not apply","6.8","Elmbridge","Good"
125077,"936","2478","William Cobbett Primary School","Local authority maintained schools","Primary","Does not apply","9.6","Waverley","Good"
125079,"936","2484","Tillingbourne Junior School","Local authority maintained schools","Primary","Does not apply","9.3","Guildford","Good"
125081,"936","2491","West Byfleet Junior School","Local authority maintained schools","Primary","Does not apply","7.3","Woking","Good"
125083,"936","2493","Meath Green Infant School","Local authority maintained schools","Primary","Does not apply","5.9","Reigate and Banstead","Outstanding"
125088,"936","2873","Clarendon Primary School","Local authority maintained schools","Primary","Does not apply","10.7","Spelthorne","Good"
125094,"936","2907","Chennestone Primary School","Local authority maintained schools","Primary","Does not apply","4.1","Spelthorne","Good"
125096,"936","2912","Beauclerc Infant and Nursery School","Local authority maintained schools","Primary","Does not apply","6.6","Spelthorne","Good"
125099,"936","2917","Busbridge Infant School","Local authority maintained schools","Primary","Does not apply","5","Waverley","Outstanding"
125101,"936","2921","Englefield Green Infant School and Nurseries","Local authority maintained schools","Primary","Does not apply","19.2","Runnymede","Good"
125104,"936","2925","Langshott Primary School","Local authority maintained schools","Primary","Does not apply","8.4","Reigate and Banstead","Good"
125107,"936","2928","Hythe Primary School","Local authority maintained schools","Primary","Does not apply","19.7","Runnymede","Good"
125108,"936","2929","Claygate Primary School","Local authority maintained schools","Primary","Does not apply","7.5","Elmbridge","Requires improvement"
125113,"936","2937","Ashford Park Primary School","Local authority maintained schools","Primary","Does not apply","16","Spelthorne","Good"
125116,"936","2940","Ash Grange Nursery and Primary School","Local authority maintained schools","Primary","Does not apply","30.7","Guildford","Good"
125122,"936","2946","Stepgates Community School","Local authority maintained schools","Primary","Does not apply","15.4","Runnymede","Good"
125124,"936","2948","Lingfield Primary School","Local authority maintained schools","Primary","Does not apply","14.1","Tandridge","Good"
125125,"936","2949","Chandlers Field Primary School","Local authority maintained schools","Primary","None","33.4","Elmbridge","Good"
125126,"936","2950","Town Farm Primary School & Nursery","Local authority maintained schools","Primary","Does not apply","18.7","Spelthorne","Good"
125127,"936","2951","Epsom Downs Primary School and Children's Centre","Local authority maintained schools","Primary","Does not apply","27.3","Reigate and Banstead","Good"
125130,"936","2954","Furzefield Primary School","Local authority maintained schools","Primary","Does not apply","20.1","Reigate and Banstead","Good"
125135,"936","3002","Walsh Memorial CofE Controlled Infant School","Local authority maintained schools","Primary","Church of England","12.5","Guildford","Outstanding"
125137,"936","3931","Lyne and Longcross CofE Aided Primary School","Local authority maintained schools","Primary","Church of England","11.3","Runnymede","Good"
125140,"936","3015","Valley End CofE Infant School","Local authority maintained schools","Primary","Church of England","0.6","Surrey Heath","Outstanding"
125141,"936","3016","St Martin's CofE Controlled Primary School, Dorking","Local authority maintained schools","Primary","Church of England","6.9","Mole Valley","Good"
125142,"936","3019","St Martin's CofE (Aided) Junior School","Local authority maintained schools","Primary","Church of England","5.1","Epsom and Ewell","Good"
125143,"936","3022","The Royal Kent CofE Primary School","Local authority maintained schools","Primary","Church of England","6","Elmbridge","Good"
125145,"936","3026","Farncombe Church of England Infant School","Local authority maintained schools","Primary","Church of England","6.9","Waverley","Good"
125148,"936","3033","St Paul's CofE Infant School","Local authority maintained schools","Primary","Church of England","24.4","Guildford","Good"
125149,"936","3035","St Mary's CofE Voluntary Controlled Infant School","Local authority maintained schools","Primary","Church of England","9","Guildford","Outstanding"
125150,"936","3042","St Mary's CofE Controlled Primary School, Byfleet","Local authority maintained schools","Primary","Church of England","8.9","Woking","Good"
125151,"936","3044","Powell Corderoy Primary School","Local authority maintained schools","Primary","None","8.6","Mole Valley","Good"
125153,"936","3050","Bisley CofE Primary School","Local authority maintained schools","Primary","Church of England","9.1","Surrey Heath","Good"
125156,"936","3054","Walsh CofE Junior School","Local authority maintained schools","Primary","Church of England","17.7","Guildford","Requires improvement"
125157,"936","3055","St Martin's CofE Aided Infant School, Epsom","Local authority maintained schools","Primary","Church of England","3.8","Epsom and Ewell","Outstanding"
125159,"936","3060","Witley CofE Controlled Infant School","Local authority maintained schools","Primary","Church of England","8.5","Waverley","Good"
125160,"936","3061","Merrow CofE Controlled Infant School","Local authority maintained schools","Primary","Church of England","10.5","Guildford","Outstanding"
125163,"936","3064","St James CofE Primary School","Local authority maintained schools","Primary","Church of England","9.8","Elmbridge","Good"
125164,"936","3313","St John's CofE Aided Primary School","Local authority maintained schools","Primary","Church of England","8.5","Tandridge","Good"
125165,"936","3314","St Peter and St Paul CofE Infant School","Local authority maintained schools","Primary","Church of England","9.2","Tandridge","Outstanding"
125167,"936","3317","Chilworth CofE (Aided) Infant School","Local authority maintained schools","Primary","Church of England","12.2","Guildford","Outstanding"
125168,"936","3318","St Lawrence CofE (Aided) Primary School","Local authority maintained schools","Primary","Church of England","14.8","Surrey Heath","Good"
125170,"936","3324","St Michael's CofE Aided Infant School","Local authority maintained schools","Primary","Church of England","3.3","Mole Valley","Good"
125171,"936","3327","St Paul's CofE (Aided) Primary School","Local authority maintained schools","Primary","Church of England","7.1","Mole Valley","Outstanding"
125173,"936","3331","St Jude's Church of England Junior School","Local authority maintained schools","Primary","Church of England","17.7","Runnymede","Good"
125174,"936","3333","Thorpe CofE Aided Primary School","Local authority maintained schools","Primary","Church of England","15.2","Runnymede","Good"
125175,"936","3334","Christ Church CofE Aided Infant School, Virginia Water","Local authority maintained schools","Primary","Church of England","17","Runnymede","Good"
125176,"936","3335","St James CofE Aided Primary School","Local authority maintained schools","Primary","Church of England","8.3","Waverley","Good"
125178,"936","3340","St Matthew's CofE Aided Infant School, Cobham","Local authority maintained schools","Primary","Church of England","4.8","Elmbridge","Outstanding"
125179,"936","3341","St Lawrence CofE Aided Junior School, East Molesey","Local authority maintained schools","Primary","Church of England","3.8","Elmbridge","Good"
125180,"936","3343","Long Ditton St Mary's CofE (Aided) Junior School","Local authority maintained schools","Primary","Church of England","8","Elmbridge","Good"
125181,"936","3344","Ewhurst CofE Aided Infant School","Local authority maintained schools","Primary","Church of England","3.3","Waverley","Outstanding"
125182,"936","3345","St Peter's CofE Primary School","Local authority maintained schools","Primary","Church of England","7.6","Waverley","Good"
125183,"936","3346","St Mary's CofE Aided Infant School, Frensham","Local authority maintained schools","Primary","Church of England","0","Waverley","Good"
125184,"936","3347","St John's CofE Aided Infant School","Local authority maintained schools","Primary","Church of England","4","Waverley","Outstanding"
125186,"936","3350","Busbridge CofE Aided Junior School","Local authority maintained schools","Primary","Church of England","3.3","Waverley","Good"
125189,"936","3357","St Nicolas CofE Aided Infant School","Local authority maintained schools","Primary","Church of England","4.5","Guildford","Good"
125190,"936","3369","St Giles' CofE (Aided) Infant School","Local authority maintained schools","Primary","Church of England","9.2","Mole Valley","Outstanding"
125191,"936","3370","Limpsfield CofE Infant School","Local authority maintained schools","Primary","Church of England","5.6","Tandridge","Outstanding"
125192,"936","3375","Newdigate CofE Endowed Aided Infant School","Local authority maintained schools","Primary","Church of England","12.5","Mole Valley","Good"
125193,"936","3376","Nutfield Church CofE Primary School","Local authority maintained schools","Primary","Church of England","6.8","Tandridge","Good"
125194,"936","3380","St Mary's CofE Primary School","Local authority maintained schools","Primary","Church of England","8.6","Tandridge","Outstanding"
125195,"936","3381","Puttenham CofE Infant School","Local authority maintained schools","Primary","Church of England","1.8","Guildford","Outstanding"
125196,"936","3387","Reigate Parish Church Primary  School","Local authority maintained schools","Primary","Church of England","1.7","Reigate and Banstead","Outstanding"
125197,"936","3405","St Peter's CofE Infant School","Local authority maintained schools","Primary","Church of England","1.2","Tandridge","Outstanding"
125198,"936","3407","All Saints CofE Aided Infant School","Local authority maintained schools","Primary","Church of England","0","Waverley","Outstanding"
125199,"936","3408","Clandon CofE Aided Primary School","Local authority maintained schools","Primary","Church of England","31.5","Guildford","Requires improvement"
125200,"936","3415","The Chandler CofE Aided Junior School","Local authority maintained schools","Primary","Church of England","11","Waverley","Good"
125201,"936","3416","Horsell CofE Aided Junior School","Local authority maintained schools","Primary","Church of England","3.9","Woking","Good"
125202,"936","3417","Wonersh and Shamley Green CofE Aided Primary School","Local authority maintained schools","Primary","Church of England","5.5","Waverley","Good"
125203,"936","3421","St Francis Catholic Primary School","Local authority maintained schools","Primary","Roman Catholic","8.8","Tandridge","Good"
125204,"936","3422","St Joseph's Catholic Primary School","Local authority maintained schools","Primary","Roman Catholic","10.1","Mole Valley","Good"
125205,"936","3423","St Joseph's Catholic Primary School","Local authority maintained schools","Primary","Roman Catholic","3.9","Epsom and Ewell","Outstanding"
125209,"936","3439","St Cuthbert's Catholic Primary School, Englefield Green","Local authority maintained schools","Primary","Roman Catholic","4.3","Runnymede","Outstanding"
125211,"936","3443","St Peter's Catholic Primary School","Local authority maintained schools","Primary","Roman Catholic","3.3","Mole Valley","Outstanding"
125212,"936","3446","St Paul's Catholic Primary School, Thames Ditton","Local authority maintained schools","Primary","Roman Catholic","4.7","Elmbridge","Good"
125214,"936","3459","St Ignatius Catholic Primary School","Local authority maintained schools","Primary","Roman Catholic","6.3","Spelthorne","Good"
125215,"936","3461","Our Lady of the Rosary RC Primary School","Local authority maintained schools","Primary","Roman Catholic","2.9","Spelthorne","Good"
125218,"936","3468","Send CofE Primary School","Local authority maintained schools","Primary","Church of England","5.2","Guildford","Good"
125219,"936","3469","St Anne's Catholic Primary School","Local authority maintained schools","Primary","Roman Catholic","3.7","Reigate and Banstead","Good"
125220,"936","3470","St Clement's Catholic Primary School","Local authority maintained schools","Primary","Roman Catholic","4.7","Epsom and Ewell","Good"
125228,"936","3580","Ashford CofE Primary School","Local authority maintained schools","Primary","Church of England","11.7","Spelthorne","Requires improvement"
125229,"936","3581","Laleham CofE VA Primary School","Local authority maintained schools","Primary","Church of England","4.3","Spelthorne","Good"
125230,"936","3583","St Nicholas CofE Primary School","Local authority maintained schools","Primary","Church of England","9.3","Spelthorne","Good"
125231,"936","3585","Littleton CofE Infant School","Local authority maintained schools","Primary","Church of England","8.3","Spelthorne","Good"
125233,"936","3915","St Michael Catholic Primary School","Local authority maintained schools","Primary","Roman Catholic","6","Spelthorne","Outstanding"
125234,"936","3916","St Joseph's Catholic Primary School, Redhill","Local authority maintained schools","Primary","Roman Catholic","7.6","Reigate and Banstead","Good"
125238,"936","3920","St Dunstan's Catholic Primary School, Woking","Local authority maintained schools","Primary","Roman Catholic","2.7","Woking","Outstanding"
125241,"936","3923","Scott Broadwood CofE Infant School","Local authority maintained schools","Primary","Church of England","13.7","Mole Valley","Good"
125242,"936","3924","St Bartholomew's CofE Aided Primary School","Local authority maintained schools","Primary","Church of England","7","Waverley","Good"
125243,"936","3925","Bramley CofE Aided Infant School and Nursery","Local authority maintained schools","Primary","Church of England","2.5","Waverley","Outstanding"
125245,"936","3927","Grayswood Church of England (Aided) Primary School","Local authority maintained schools","Primary","Church of England","6","Waverley","Good"
125246,"936","3928","Shere CofE Aided Infant School","Local authority maintained schools","Primary","Church of England","7.9","Guildford","Good"
125279,"936","4623","Royal Alexandra and Albert School","Local authority maintained schools","All-through","None","4.8","Reigate and Banstead","Good"
125284,"936","5202","Hawkedale Primary School","Local authority maintained schools","Primary","None","8.4","Spelthorne","Good"
125288,"936","5206","Holy Trinity, Guildford, CofE Aided Junior School","Local authority maintained schools","Primary","Church of England","2.6","Guildford","Good"
125289,"936","5207","Yattendon School","Local authority maintained schools","Primary","None","11.3","Reigate and Banstead","Good"
125292,"936","5210","Burstow Primary School","Local authority maintained schools","Primary","None","15","Tandridge","Good"
125293,"936","5211","Park Mead Primary","Local authority maintained schools","Primary","None","10.6","Waverley","Good"
125296,"936","5214","Tadworth Primary School","Local authority maintained schools","Primary","None","2.1","Reigate and Banstead","Good"
125298,"936","5216","Wallace Fields Junior School","Local authority maintained schools","Primary","Does not apply","4.8","Epsom and Ewell","Outstanding"
125299,"936","5217","Burpham Foundation Primary School","Local authority maintained schools","Primary","None","5.1","Guildford","Outstanding"
129650,"850","2722","Wellstead Primary School","Local authority maintained schools","Primary","Does not apply","13.5","Eastleigh","Good"
130325,"850","2775","Mill Hill Primary School","Local authority maintained schools","Primary","Does not apply","30.4","Havant","Good"
130397,"936","2959","The Dawnay School","Local authority maintained schools","Primary","Does not apply","13.4","Mole Valley","Requires improvement"
131072,"936","3065","Riverview CofE Primary and Nursery School VA","Local authority maintained schools","Primary","Church of England","31.7","Epsom and Ewell","Requires improvement"
131112,"936","3932","St Joseph's Catholic Primary School","Local authority maintained schools","Primary","Roman Catholic","5.3","Guildford","Good"
131116,"850","2777","Holbrook Primary School","Local authority maintained schools","Primary","Does not apply","34.7","Gosport","Good"
131117,"850","2776","Bedenham Primary School","Local authority maintained schools","Primary","Does not apply","19.4","Gosport","Good"
131125,"936","2960","Cranmere Primary School","Local authority maintained schools","Primary","Does not apply","12.2","Elmbridge","Good"
131420,"850","2778","Whiteley Primary School","Local authority maintained schools","Primary","Does not apply","4.3","Fareham","Outstanding"
131450,"850","3665","St Mark's Church of England Primary School","Local authority maintained schools","Primary","Church of England","5.8","Basingstoke and Deane","Good"
131516,"850","3669","Burnham Copse Primary School","Local authority maintained schools","Primary","Does not apply","10.6","Basingstoke and Deane","Good"
131717,"850","2009","Knightwood Primary School","Local authority maintained schools","Primary","Does not apply","2.7","Test Valley","Outstanding"
132212,"850","2011","Great Binfields Primary School","Local authority maintained schools","Primary","Does not apply","10.3","Basingstoke and Deane","Good"
132801,"850","2015","Elvetham Heath Primary School","Local authority maintained schools","Primary","Does not apply","4.8","Hart","Outstanding"
132802,"850","2016","Cherrywood Community Primary School","Local authority maintained schools","Primary","Does not apply","33.7","Rushmoor","Good"
133292,"850","2017","Micheldever CofE Primary School","Local authority maintained schools","Primary","Church of England","6.3","Winchester","Good"
133303,"850","2020","Sharps Copse Primary and Nursery School","Local authority maintained schools","Primary","Does not apply","48.1","Havant","Good"
133721,"936","2964","Southfield Park Primary School","Local authority maintained schools","Primary","Does not apply","9.5","Epsom and Ewell","Outstanding"
