"URN","LA (code)","EstablishmentNumber","EstablishmentName","EstablishmentTypeGroup (name)","PhaseOfEducation (name)","ReligiousCharacter (name)","PercentageFSM","DistrictAdministrative (name)","OfstedRating (name)"
116026,"850","2301","Knights Enham Nursery and Infant School","Local authority maintained schools","Primary","Does not apply","35.6","Test Valley","Good"
116027,"850","2304","Bursledon Junior School(CA)","Local authority maintained schools","Primary","Does not apply","23.2","Eastleigh","Good"
116028,"850","2306","Ranvilles Infant School","Local authority maintained schools","Primary","Does not apply","4.4","Fareham","Outstanding"
116030,"850","2309","Northern Infant School","Local authority maintained schools","Primary","Does not apply","8.5","Fareham","Good"
116031,"850","2310","Poulner Infant School and Nursery","Local authority maintained schools","Primary","Does not apply","8.5","New Forest","Good"
116033,"850","2313","Park Gate Primary School","Local authority maintained schools","Primary","Does not apply","9.7","Fareham","Good"
116034,"850","2314","South Wonston Primary School","Local authority maintained schools","Primary","Does not apply","7.4","Winchester","Good"
116035,"850","2315","Bishopswood Infant School","Local authority maintained schools","Primary","Does not apply","7.3","Basingstoke and Deane","Good"
116036,"850","2316","Kempshott Infant School","Local authority maintained schools","Primary","Does not apply","7.1","Basingstoke and Deane","Outstanding"
116037,"850","2317","Wootey Junior School","Local authority maintained schools","Primary","Does not apply","22.1","East Hampshire","Good"
116038,"850","2318","Roman Way Primary School","Local authority maintained schools","Primary","Does not apply","25.4","Test Valley","Good"
116039,"850","2319","Old Basing Infant School","Local authority maintained schools","Primary","Does not apply","4.3","Basingstoke and Deane","Outstanding"
116040,"850","2320","Rucstall Primary School","Local authority maintained schools","Primary","Does not apply","16.2","Basingstoke and Deane","Good"
116041,"850","2321","Castle Hill Infant School","Local authority maintained schools","Primary","Does not apply","9.9","Basingstoke and Deane","Outstanding"
116042,"850","2322","Scantabout Primary School","Local authority maintained schools","Primary","Does not apply","5.5","Eastleigh","Good"
116043,"850","2323","Denmead Junior School","Local authority maintained schools","Primary","Does not apply","8.2","Winchester","Good"
116044,"850","2324","Tavistock Infant School","Local authority maintained schools","Primary","Does not apply","5.7","Hart","Good"
116045,"850","2325","Hook Junior School","Local authority maintained schools","Primary","Does not apply","7.8","Hart","Outstanding"
116046,"850","2326","Olivers Battery Primary School","Local authority maintained schools","Primary","Does not apply","15.4","Winchester","Good"
116047,"850","2328","Oakley Infant School","Local authority maintained schools","Primary","Does not apply","6.4","Basingstoke and Deane","Outstanding"
116048,"850","2329","Cupernham Infant School","Local authority maintained schools","Primary","Does not apply","9.3","Test Valley","Good"
116049,"850","2330","Calmore Infant School","Local authority maintained schools","Primary","Does not apply","14.6","New Forest","Good"
116051,"850","2332","Lymington Junior School","Local authority maintained schools","Primary","Does not apply","7.5","New Forest","Good"
116052,"850","2335","Mengham Junior School","Local authority maintained schools","Primary","Does not apply","21","Havant","Good"
116053,"850","2336","Bidbury Junior School","Local authority maintained schools","Primary","Does not apply","21.1","Havant","Good"
